Cust ID,Comment,Comment - Split 1,Comment - Split 2,Comment - Split 3,Comment - Split 4,Comment - Split 5,Comment - Split 6,Comment - Split 7,Comment - Split 8,Comment - Split 9,Comment - Split 10,Target,Service flag,CustType flag,Contact flag,New Flag,Choice flag,Loyal Status,Comp card flag,AcctType flag,Contact Flag2,HQ flag,Multi flag,NewCust Flag
112,"easier parking, better showers, cleaner stores                                                                                                                                                                                                                                                              .ease of use                                                                                                                                                                                                                                                                                                 .nasty nasty                                                                                                                                                                                                                                                                                                 .cant get cash advance at productx pump",easier,"parking,",better,"showers,",cleaner,stores,,,,,1,1,1,2,2,2,3,0,0,0,0,0,0
115,easy to get in and out parking different restaurants                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .cant get in to productx.  No parking                                                                                                                                                                                                                                                                        .,easy,to,get,in,and,out,parking,different,restaurants,,0,2,1,1,1,1,3,0,0,0,0,0,0
117,at competitor compx you have to wait to productx                                                                                                                                                                                                                                                            .because you can get truck repair fast and courteous                                                                                                                                                                                                                                                         .their places are usually not very clean                                                                                                                                                                                                                                                                     .you can only purchase certain amounts,at,competitor,compx,you,have,to,wait,to,productx,,1,2,2,1,2,1,3,0,0,0,0,0,0
118,incentive programs                                                                                                                                                                                                                                                                                          .discount on productx                                                                                                                                                                                                                                                                                        .bad traffic                                                                                                                                                                                                                                                                                                 .no incentives,incentive,programs,,,,,,,,,0,2,2,1,2,1,2,0,0,0,0,0,0
119,"showers                                                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .no food, no parking, showers, not enough hot water                                                                                                                                                                                                                                                          .",showers,,,,,,,,,,0,2,1,1,2,1,1,0,0,1,0,0,1
120,quick                                                                                                                                                                                                                                                                                                       .dollar for dollar                                                                                                                                                                                                                                                                                           .poor point system                                                                                                                                                                                                                                                                                           .never know what you have,quick,,,,,,,,,,1,2,2,2,2,1,1,0,0,0,0,0,0
121,hate competitor compx                                                                                                                                                                                                                                                                                       .points                                                                                                                                                                                                                                                                                                      .waiting in line                                                                                                                                                                                                                                                                                             .have to send the points in mail,hate,competitor,compx,,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
122,truck parking - quick reproductx price of gas                                                                                                                                                                                                                                                               .cash price                                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .,truck,parking,-,quick,reproductx,price,of,gas,,,0,2,2,1,2,1,3,0,0,0,0,0,0
124,easy in and out                                                                                                                                                                                                                                                                                             .easy cash in                                                                                                                                                                                                                                                                                                .no service                                                                                                                                                                                                                                                                                                  .mail in,easy,in,and,out,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
125,food and showers                                                                                                                                                                                                                                                                                            ..1 per quantp                                                                                                                                                                                                                                                                                               .bad showers                                                                                                                                                                                                                                                                                                 .its atoke,food,and,showers,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
127,discounts and good service                                                                                                                                                                                                                                                                                  .good service                                                                                                                                                                                                                                                                                                .bad experience                                                                                                                                                                                                                                                                                              .high prices,discounts,and,good,service,,,,,,,1,2,1,1,1,1,1,0,0,0,0,0,0
13,clean showers                                                                                                                                                                                                                                                                                               .get free stuff on the spot                                                                                                                                                                                                                                                                                  .its not as clean                                                                                                                                                                                                                                                                                            .too many problems not enough free stuff,clean,showers,,,,,,,,,1,2,1,1,2,1,3,1,0,0,0,0,0
130,economic                                                                                                                                                                                                                                                                                                    .points given                                                                                                                                                                                                                                                                                                .more expensive                                                                                                                                                                                                                                                                                              .,economic,,,,,,,,,,1,2,2,1,2,1,3,0,0,0,0,0,0
131,price                                                                                                                                                                                                                                                                                                       .points are avaliable                                                                                                                                                                                                                                                                                        .price and not ?                                                                                                                                                                                                                                                                                             .points can only be used in restaurant,price,,,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
132,small in out usually                                                                                                                                                                                                                                                                                        .easy to use                                                                                                                                                                                                                                                                                                 .                                                                                                                                                                                                                                                                                                            .,small,in,out,usually,,,,,,,1,2,2,2,2,1,3,0,0,0,0,0,0
133,clean                                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,clean,,,,,,,,,,1,1,1,1,2,1,3,0,0,0,0,0,0
134,quick                                                                                                                                                                                                                                                                                                       .double points                                                                                                                                                                                                                                                                                               .does not accept comdata                                                                                                                                                                                                                                                                                     .don’t care for them,quick,,,,,,,,,,0,2,1,1,2,1,1,0,0,0,0,0,0
136,cleaness                                                                                                                                                                                                                                                                                                    .sr. discount on meals                                                                                                                                                                                                                                                                                       .dirty                                                                                                                                                                                                                                                                                                       .,cleaness,,,,,,,,,,0,2,1,1,1,1,1,0,0,1,0,0,0
137,pump start card.  Clean showers                                                                                                                                                                                                                                                                             .ease of use                                                                                                                                                                                                                                                                                                 .always slow and dirty                                                                                                                                                                                                                                                                                       .waiting in line to buy productx and get pump turned on,pump,start,card.,,Clean,showers,,,,,1,1,2,2,2,1,1,0,0,0,0,0,0
138,because of the showers.  Always clean                                                                                                                                                                                                                                                                       .point pay back                                                                                                                                                                                                                                                                                              .do not give express showers                                                                                                                                                                                                                                                                                 .,because,of,the,showers.,,Always,clean,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
139,convenience                                                                                                                                                                                                                                                                                                 .points rewards                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .compTRO,convenience,,,,,,,,,,1,2,1,1,2,2,3,0,0,0,0,0,0
14,best rest rooms a cleaner                                                                                                                                                                                                                                                                                   .big showers                                                                                                                                                                                                                                                                                                 .room for parking and cleanliness                                                                                                                                                                                                                                                                            .,best,rest,rooms,a,cleaner,,,,,,0,2,2,1,2,1,1,0,0,0,0,0,0
140,sit down restaurant                                                                                                                                                                                                                                                                                         .get points for eating in restaurant or fast food court                                                                                                                                                                                                                                                      .high priced productx                                                                                                                                                                                                                                                                                        .,sit,down,restaurant,,,,,,,,0,2,1,1,2,2,3,0,0,0,0,0,0
143,there are quite a few more locations                                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,there,are,quite,a,few,more,locations,,,,0,2,2,2,2,1,3,0,0,0,0,0,0
144,always fresh coffee and clean showers                                                                                                                                                                                                                                                                       .betting pointss for merchandise                                                                                                                                                                                                                                                                             .a lot of times dirty                                                                                                                                                                                                                                                                                        .,always,fresh,coffee,and,clean,showers,,,,,0,2,2,1,1,2,1,0,0,0,0,0,0
146,"clean convenient                                                                                                                                                                                                                                                                                            .showers, convenient                                                                                                                                                                                                                                                                                         .compT                                                                                                                                                                                                                                                                                                       .",clean,convenient,,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
149,competitor compx (card)                                                                                                                                                                                                                                                                                     .everything                                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .,competitor,compx,(card),,,,,,,,0,1,1,1,1,1,1,0,0,1,0,0,1
15,convenient                                                                                                                                                                                                                                                                                                  .shopping                                                                                                                                                                                                                                                                                                    .                                                                                                                                                                                                                                                                                                            .,convenient,,,,,,,,,,1,1,1,2,2,1,1,0,0,0,0,0,0
150,cheaper                                                                                                                                                                                                                                                                                                     .restaurant (food)                                                                                                                                                                                                                                                                                           .                                                                                                                                                                                                                                                                                                            .,cheaper,,,,,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
152,"way the personell great and helpfulness they give                                                                                                                                                                                                                                                           .                                                                                                                                                                                                                                                                                                            .not people friendly, dirty restrooms/showers                                                                                                                                                                                                                                                                .",way,the,personell,great,and,helpfulness,they,give,,,0,1,1,1,1,1,3,0,0,0,0,0,0
153,kiosk @ door - no standing in line                                                                                                                                                                                                                                                                          .points to spend same as cash                                                                                                                                                                                                                                                                                .                                                                                                                                                                                                                                                                                                            .no rewards,kiosk,@,door,-,no,standing,in,line,,,0,2,2,2,2,1,3,0,0,0,0,0,0
154,always clean                                                                                                                                                                                                                                                                                                .gathering the points to spend at the store                                                                                                                                                                                                                                                                  .always dirty                                                                                                                                                                                                                                                                                                .only for showers,always,clean,,,,,,,,,1,2,1,1,2,1,1,0,0,0,0,0,0
155,"cleanliness                                                                                                                                                                                                                                                                                                 .more points for less money                                                                                                                                                                                                                                                                                  .dirty, urine smell in parking areas                                                                                                                                                                                                                                                                         .less points for more money",cleanliness,,,,,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
157,closer to work                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .same                                                                                                                                                                                                                                                                                                        .,closer,to,work,,,,,,,,0,2,1,1,2,2,1,0,0,0,0,0,0
