Cust_ID,Comment,Target,Service_flag,CustType_flag,Contact_flag,new_flag,Choice_flag,Loyal_Status,Comp_card_flag,AcctType_flag,Contact_Flag2,HQ_flag,Multi_flag,NewCust_Flag
110,no real reason shopstops is good too                                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .preference                                                                                                                                                                                                                                                                                                  .,1,1,1,2,2,1,1,0,0,0,0,0,0
111,quick to turn pump on                                                                                                                                                                                                                                                                                       .good selection                                                                                                                                                                                                                                                                                              .too much hassle about visa cards                                                                                                                                                                                                                                                                            .your points expire too quick,1,2,2,1,2,1,1,0,0,0,0,0,0
112,"easier parking, better showers, cleaner stores                                                                                                                                                                                                                                                              .ease of use                                                                                                                                                                                                                                                                                                 .nasty nasty                                                                                                                                                                                                                                                                                                 .cant get cash advance at productx pump",1,1,1,2,2,2,3,0,0,0,0,0,0
115,easy to get in and out parking different restaurants                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .cant get in to productx.  No parking                                                                                                                                                                                                                                                                        .,0,2,1,1,1,1,3,0,0,0,0,0,0
117,at competitor compx you have to wait to productx                                                                                                                                                                                                                                                            .because you can get truck repair fast and courteous                                                                                                                                                                                                                                                         .their places are usually not very clean                                                                                                                                                                                                                                                                     .you can only purchase certain amounts,1,2,2,1,2,1,3,0,0,0,0,0,0
118,incentive programs                                                                                                                                                                                                                                                                                          .discount on productx                                                                                                                                                                                                                                                                                        .bad traffic                                                                                                                                                                                                                                                                                                 .no incentives,0,2,2,1,2,1,2,0,0,0,0,0,0
119,"showers                                                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .no food, no parking, showers, not enough hot water                                                                                                                                                                                                                                                          .",0,2,1,1,2,1,1,0,0,1,0,0,1
120,quick                                                                                                                                                                                                                                                                                                       .dollar for dollar                                                                                                                                                                                                                                                                                           .poor point system                                                                                                                                                                                                                                                                                           .never know what you have,1,2,2,2,2,1,1,0,0,0,0,0,0
121,hate competitor compx                                                                                                                                                                                                                                                                                       .points                                                                                                                                                                                                                                                                                                      .waiting in line                                                                                                                                                                                                                                                                                             .have to send the points in mail,1,2,2,1,2,1,1,0,0,0,0,0,0
122,truck parking - quick reproductx price of gas                                                                                                                                                                                                                                                               .cash price                                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .,0,2,2,1,2,1,3,0,0,0,0,0,0
124,easy in and out                                                                                                                                                                                                                                                                                             .easy cash in                                                                                                                                                                                                                                                                                                .no service                                                                                                                                                                                                                                                                                                  .mail in,1,2,2,1,2,1,1,0,0,0,0,0,0
125,food and showers                                                                                                                                                                                                                                                                                            ..1 per quantp                                                                                                                                                                                                                                                                                               .bad showers                                                                                                                                                                                                                                                                                                 .its atoke,1,1,2,1,2,1,1,0,0,0,0,0,0
127,discounts and good service                                                                                                                                                                                                                                                                                  .good service                                                                                                                                                                                                                                                                                                .bad experience                                                                                                                                                                                                                                                                                              .high prices,1,2,1,1,1,1,1,0,0,0,0,0,0
13,clean showers                                                                                                                                                                                                                                                                                               .get free stuff on the spot                                                                                                                                                                                                                                                                                  .its not as clean                                                                                                                                                                                                                                                                                            .too many problems not enough free stuff,1,2,1,1,2,1,3,1,0,0,0,0,0
130,economic                                                                                                                                                                                                                                                                                                    .points given                                                                                                                                                                                                                                                                                                .more expensive                                                                                                                                                                                                                                                                                              .,1,2,2,1,2,1,3,0,0,0,0,0,0
131,price                                                                                                                                                                                                                                                                                                       .points are avaliable                                                                                                                                                                                                                                                                                        .price and not ?                                                                                                                                                                                                                                                                                             .points can only be used in restaurant,1,1,2,1,2,1,1,0,0,0,0,0,0
132,small in out usually                                                                                                                                                                                                                                                                                        .easy to use                                                                                                                                                                                                                                                                                                 .                                                                                                                                                                                                                                                                                                            .,1,2,2,2,2,1,3,0,0,0,0,0,0
133,clean                                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,1,1,1,1,2,1,3,0,0,0,0,0,0
134,quick                                                                                                                                                                                                                                                                                                       .double points                                                                                                                                                                                                                                                                                               .does not accept comdata                                                                                                                                                                                                                                                                                     .don’t care for them,0,2,1,1,2,1,1,0,0,0,0,0,0
136,cleaness                                                                                                                                                                                                                                                                                                    .sr. discount on meals                                                                                                                                                                                                                                                                                       .dirty                                                                                                                                                                                                                                                                                                       .,0,2,1,1,1,1,1,0,0,1,0,0,0
137,pump start card.  Clean showers                                                                                                                                                                                                                                                                             .ease of use                                                                                                                                                                                                                                                                                                 .always slow and dirty                                                                                                                                                                                                                                                                                       .waiting in line to buy productx and get pump turned on,1,1,2,2,2,1,1,0,0,0,0,0,0
138,because of the showers.  Always clean                                                                                                                                                                                                                                                                       .point pay back                                                                                                                                                                                                                                                                                              .do not give express showers                                                                                                                                                                                                                                                                                 .,1,2,2,1,2,1,1,0,0,0,0,0,0
139,convenience                                                                                                                                                                                                                                                                                                 .points rewards                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .compTRO,1,2,1,1,2,2,3,0,0,0,0,0,0
14,best rest rooms a cleaner                                                                                                                                                                                                                                                                                   .big showers                                                                                                                                                                                                                                                                                                 .room for parking and cleanliness                                                                                                                                                                                                                                                                            .,0,2,2,1,2,1,1,0,0,0,0,0,0
140,sit down restaurant                                                                                                                                                                                                                                                                                         .get points for eating in restaurant or fast food court                                                                                                                                                                                                                                                      .high priced productx                                                                                                                                                                                                                                                                                        .,0,2,1,1,2,2,3,0,0,0,0,0,0
143,there are quite a few more locations                                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,0,2,2,2,2,1,3,0,0,0,0,0,0
144,always fresh coffee and clean showers                                                                                                                                                                                                                                                                       .betting pointss for merchandise                                                                                                                                                                                                                                                                             .a lot of times dirty                                                                                                                                                                                                                                                                                        .,0,2,2,1,1,2,1,0,0,0,0,0,0
146,"clean convenient                                                                                                                                                                                                                                                                                            .showers, convenient                                                                                                                                                                                                                                                                                         .compT                                                                                                                                                                                                                                                                                                       .",1,1,2,1,2,1,1,0,0,0,0,0,0
149,competitor compx (card)                                                                                                                                                                                                                                                                                     .everything                                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .,0,1,1,1,1,1,1,0,0,1,0,0,1
15,convenient                                                                                                                                                                                                                                                                                                  .shopping                                                                                                                                                                                                                                                                                                    .                                                                                                                                                                                                                                                                                                            .,1,1,1,2,2,1,1,0,0,0,0,0,0
150,cheaper                                                                                                                                                                                                                                                                                                     .restaurant (food)                                                                                                                                                                                                                                                                                           .                                                                                                                                                                                                                                                                                                            .,0,2,2,1,2,1,3,0,0,0,0,0,0
152,"way the personell great and helpfulness they give                                                                                                                                                                                                                                                           .                                                                                                                                                                                                                                                                                                            .not people friendly, dirty restrooms/showers                                                                                                                                                                                                                                                                .",0,1,1,1,1,1,3,0,0,0,0,0,0
153,kiosk @ door - no standing in line                                                                                                                                                                                                                                                                          .points to spend same as cash                                                                                                                                                                                                                                                                                .                                                                                                                                                                                                                                                                                                            .no rewards,0,2,2,2,2,1,3,0,0,0,0,0,0
154,always clean                                                                                                                                                                                                                                                                                                .gathering the points to spend at the store                                                                                                                                                                                                                                                                  .always dirty                                                                                                                                                                                                                                                                                                .only for showers,1,2,1,1,2,1,1,0,0,0,0,0,0
155,"cleanliness                                                                                                                                                                                                                                                                                                 .more points for less money                                                                                                                                                                                                                                                                                  .dirty, urine smell in parking areas                                                                                                                                                                                                                                                                         .less points for more money",0,2,2,1,2,1,3,0,0,0,0,0,0
157,closer to work                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .same                                                                                                                                                                                                                                                                                                        .,0,2,1,1,2,2,1,0,0,0,0,0,0
158,sit downrestaurant and laundry                                                                                                                                                                                                                                                                              .double point offers                                                                                                                                                                                                                                                                                         .hard to park                                                                                                                                                                                                                                                                                                .have to gon online,0,2,2,2,2,1,1,0,0,0,0,0,0
159,get in and out                                                                                                                                                                                                                                                                                              .by everything                                                                                                                                                                                                                                                                                               .alow                                                                                                                                                                                                                                                                                                        .,1,1,1,1,2,2,1,0,0,0,0,0,0
